stop_id,name,type,node,lon,lat
0,Stop_0,bus_stop,0,1,5
1,Stop_1,bus_stop,1,2,5
2,Stop_2,bus_stop,2,3,5
3,Stop_3,bus_stop,3,4,5
4,Stop_4,bus_stop,4,4,4
5,Stop_5,bus_stop,5,5,4
6,Stop_6,bus_stop,6,6,4
7,Stop_7,bus_stop,7,7,4
8,Stop_8,bus_stop,8,7,5
9,Stop_9,bus_stop,9,6,5
10,Stop_10,bus_stop,10,5,5
11,Stop_11,bus_stop,11,4,3
12,Stop_12,bus_stop,12,4,2
13,Stop_13,bus_stop,13,3,2
14,Stop_14,bus_stop,14,3,3
15,Stop_15,bus_stop,15,3,4
16,Stop_16,bus_stop,16,3,6
17,Stop_17,bus_stop,17,2,6
18,Stop_18,bus_stop,18,1,6
19,Stop_19,bus_stop,19,1,7
20,Stop_20,bus_stop,20,5,3
21,Stop_21,bus_stop,21,6,3
22,Stop_22,bus_stop,22,7,3
23,Stop_23,bus_stop,23,8,3
24,Stop_24,bus_stop,24,8,2
25,Stop_25,bus_stop,25,8,1
26,Stop_26,bus_stop,26,7,1
27,Stop_27,bus_stop,27,6,1
28,Stop_28,bus_stop,28,5,1
29,Stop_29,bus_stop,29,4,1
30,Stop_30,bus_stop,30,4,6
31,Stop_31,bus_stop,31,5,6
32,Stop_32,bus_stop,32,6,6
33,Stop_33,bus_stop,33,7,6
34,Stop_34,bus_stop,34,7,7
35,Stop_35,bus_stop,35,7,8
36,Stop_36,bus_stop,36,8,8
37,Stop_37,bus_stop,37,8,7
38,Stop_38,bus_stop,38,8,6
