stop_id,name,type,node,lon,lat
0,Stop_0,bus_stop,0,5,2
1,Stop_1,bus_stop,1,6,2
2,Stop_2,bus_stop,2,6,3
3,Stop_3,bus_stop,3,6,4
4,Stop_4,bus_stop,4,6,5
5,Stop_5,bus_stop,5,5,5
6,Stop_6,bus_stop,6,5,6
7,Stop_7,bus_stop,7,6,6
8,Stop_8,bus_stop,8,4,2
9,Stop_9,bus_stop,9,3,2
10,Stop_10,bus_stop,10,2,2
11,Stop_11,bus_stop,11,1,2
12,Stop_12,bus_stop,12,0,2
13,Stop_13,bus_stop,13,0,1
14,Stop_14,bus_stop,14,1,1
15,Stop_15,bus_stop,15,2,1
16,Stop_16,bus_stop,16,3,1
17,Stop_17,bus_stop,17,4,1
18,Stop_18,bus_stop,18,5,1
19,Stop_19,bus_stop,19,2,2
20,Stop_20,bus_stop,20,2,1
21,Stop_21,bus_stop,21,2,2
22,Stop_22,bus_stop,22,2,3
23,Stop_23,bus_stop,23,2,4
24,Stop_24,bus_stop,24,2,5
25,Stop_25,bus_stop,25,2,6
26,Stop_26,bus_stop,26,3,6
27,Stop_27,bus_stop,27,4,6
28,Stop_28,bus_stop,28,5,6
29,Stop_29,bus_stop,29,6,6
30,Stop_30,bus_stop,30,3,6
31,Stop_31,bus_stop,31,3,5
32,Stop_32,bus_stop,32,3,4
33,Stop_33,bus_stop,33,3,3
34,Stop_34,bus_stop,34,3,2
35,Stop_35,bus_stop,35,3,1
36,Stop_36,bus_stop,36,3,0
37,Stop_37,bus_stop,37,2,0
38,Stop_38,bus_stop,38,1,0
39,Stop_39,bus_stop,39,2,1
40,Stop_40,bus_stop,40,1,1
41,Stop_41,bus_stop,41,0,1
42,Stop_42,bus_stop,42,0,2
43,Stop_43,bus_stop,43,0,3
44,Stop_44,bus_stop,44,1,3
45,Stop_45,bus_stop,45,2,3
46,Stop_46,bus_stop,46,2,2
47,Stop_47,bus_stop,47,2,1
48,Stop_48,bus_stop,48,2,0
