request_id,origin,destination,path,avg_passengers_per_time_unit
0,62,53,"[62, 53]",1
1,47,66,"[47, 66]",1
2,4,24,"[4, 24]",1
3,10,63,"[10, 63]",1
4,33,21,"[33, 21]",1
5,42,44,"[42, 44]",1
6,50,9,"[50, 9]",1
7,58,49,"[58, 49]",2
8,43,2,"[43, 2]",3
9,24,11,"[24, 11]",1
10,46,1,"[46, 1]",1
11,45,29,"[45, 29]",1
12,51,65,"[51, 65]",1
13,7,37,"[7, 37]",1
14,63,29,"[63, 29]",2
15,61,22,"[61, 22]",1
16,19,57,"[19, 57]",1
17,48,60,"[48, 60]",4
18,5,1,"[5, 1]",1
19,17,59,"[17, 59]",1
20,24,2,"[24, 2]",1
21,32,46,"[32, 46]",2
22,34,56,"[34, 56]",1
23,53,0,"[53, 0]",1
24,13,8,"[13, 8]",1
25,65,45,"[65, 45]",1
26,11,10,"[11, 10]",1
27,55,1,"[55, 1]",1
28,48,9,"[48, 9]",2
29,51,3,"[51, 3]",1
30,41,33,"[41, 33]",1
31,60,4,"[60, 4]",1
32,42,54,"[42, 54]",1
33,44,3,"[44, 3]",1
34,20,54,"[20, 54]",2
35,8,19,"[8, 19]",1
36,47,30,"[47, 30]",2
37,10,7,"[10, 7]",1
38,66,49,"[66, 49]",1
39,39,18,"[39, 18]",1
40,37,50,"[37, 50]",1
41,47,16,"[47, 16]",2
42,43,15,"[43, 15]",1
43,21,50,"[21, 50]",2
44,55,7,"[55, 7]",1
45,17,59,"[17, 59]",1
46,2,45,"[2, 45]",1
47,57,58,"[57, 58]",1
48,38,55,"[38, 55]",1
49,3,21,"[3, 21]",1
