request_id,origin,destination,path_nodes,avg_passengers_per_time_unit
0,4,1,"[4, 3, 2, 1]",2
1,12,6,"[12, 11, 10, 1, 2, 3, 4, 5, 6]",1
2,4,1,"[4, 3, 2, 1]",1
3,0,6,"[0, 1, 2, 3, 4, 5, 6]",1
4,8,12,"[8, 9, 1, 10, 11, 12]",2
5,5,12,"[5, 4, 3, 2, 1, 10, 11, 12]",1
6,0,2,"[0, 1, 2]",5
7,2,5,"[2, 3, 4, 5]",2
8,8,5,"[8, 9, 1, 2, 3, 4, 5]",1
9,11,3,"[11, 10, 1, 2, 3]",1
10,2,0,"[2, 1, 0]",1
11,6,1,"[6, 5, 4, 3, 2, 1]",2
12,9,6,"[9, 1, 2, 3, 4, 5, 6]",1
13,1,0,"[1, 0]",1
14,5,11,"[5, 4, 3, 2, 1, 10, 11]",1
15,7,1,"[7, 8, 9, 1]",2
16,0,1,"[0, 1]",1
17,10,2,"[10, 1, 2]",1
18,2,0,"[2, 1, 0]",1
19,4,6,"[4, 5, 6]",1
20,9,7,"[9, 8, 7]",2
21,4,7,"[4, 3, 2, 1, 9, 8, 7]",3
22,0,4,"[0, 1, 2, 3, 4]",2
23,5,8,"[5, 4, 3, 2, 1, 9, 8]",2
24,12,7,"[12, 11, 10, 1, 9, 8, 7]",2
25,3,9,"[3, 2, 1, 9]",1
26,10,8,"[10, 1, 9, 8]",1
27,9,5,"[9, 1, 2, 3, 4, 5]",1
28,0,6,"[0, 1, 2, 3, 4, 5, 6]",1
29,12,10,"[12, 11, 10]",2
30,8,6,"[8, 9, 1, 2, 3, 4, 5, 6]",1
31,10,8,"[10, 1, 9, 8]",1
32,10,12,"[10, 11, 12]",1
33,9,7,"[9, 8, 7]",1
34,8,10,"[8, 9, 1, 10]",1
35,6,5,"[6, 5]",1
36,8,0,"[8, 9, 1, 0]",1
37,12,10,"[12, 11, 10]",3
38,2,11,"[2, 1, 10, 11]",4
39,1,7,"[1, 9, 8, 7]",1
40,10,4,"[10, 1, 2, 3, 4]",2
41,2,5,"[2, 3, 4, 5]",1
42,5,8,"[5, 4, 3, 2, 1, 9, 8]",1
43,6,1,"[6, 5, 4, 3, 2, 1]",1
44,11,7,"[11, 10, 1, 9, 8, 7]",3
45,6,9,"[6, 5, 4, 3, 2, 1, 9]",1
46,12,5,"[12, 11, 10, 1, 2, 3, 4, 5]",1
47,0,3,"[0, 1, 2, 3]",5
48,9,1,"[9, 1]",1
49,10,5,"[10, 1, 2, 3, 4, 5]",2
