request_id,origin,destination,path_nodes,avg_passengers_per_time_unit
0,16,11,"[16, 15, 14, 7, 10, 5, 11]",1
1,2,16,"[2, 3, 6, 7, 14, 15, 16]",2
2,13,0,"[13, 12, 11, 5, 4, 3, 2, 1, 0]",2
3,12,2,"[12, 11, 5, 4, 3, 2]",1
4,12,0,"[12, 11, 5, 4, 3, 2, 1, 0]",1
5,10,8,"[10, 7, 8]",1
6,15,1,"[15, 14, 7, 6, 3, 2, 1]",1
7,10,13,"[10, 5, 11, 12, 13]",2
8,11,0,"[11, 5, 4, 3, 2, 1, 0]",3
9,5,13,"[5, 11, 12, 13]",1
10,2,4,"[2, 3, 4]",2
11,11,7,"[11, 5, 10, 7]",1
12,2,1,"[2, 1]",2
13,16,12,"[16, 15, 14, 7, 10, 5, 11, 12]",2
14,9,4,"[9, 8, 7, 6, 3, 4]",3
15,9,12,"[9, 8, 7, 10, 5, 11, 12]",1
16,11,4,"[11, 5, 4]",2
17,10,3,"[10, 3]",1
18,5,12,"[5, 11, 12]",1
19,13,1,"[13, 12, 11, 5, 4, 3, 2, 1]",1
20,4,14,"[4, 3, 6, 7, 14]",1
21,0,11,"[0, 1, 2, 3, 4, 5, 11]",3
22,14,16,"[14, 15, 16]",2
23,9,13,"[9, 8, 7, 10, 5, 11, 12, 13]",2
24,0,5,"[0, 1, 2, 3, 4, 5]",1
25,16,10,"[16, 15, 14, 7, 10]",1
26,16,4,"[16, 15, 14, 7, 6, 3, 4]",1
27,10,3,"[10, 3]",1
28,11,7,"[11, 5, 10, 7]",1
29,10,2,"[10, 3, 2]",2
30,8,7,"[8, 7]",1
31,6,10,"[6, 3, 10]",2
32,8,12,"[8, 7, 10, 5, 11, 12]",1
33,1,2,"[1, 2]",1
34,6,16,"[6, 7, 14, 15, 16]",3
35,0,6,"[0, 1, 2, 3, 6]",3
36,8,7,"[8, 7]",1
37,2,10,"[2, 3, 10]",1
38,2,10,"[2, 3, 10]",1
39,4,16,"[4, 3, 6, 7, 14, 15, 16]",1
40,15,16,"[15, 16]",2
41,12,0,"[12, 11, 5, 4, 3, 2, 1, 0]",6
42,8,15,"[8, 7, 14, 15]",1
43,10,12,"[10, 5, 11, 12]",2
44,7,4,"[7, 6, 3, 4]",1
45,0,15,"[0, 1, 2, 3, 6, 7, 14, 15]",2
46,10,3,"[10, 3]",1
47,1,11,"[1, 2, 3, 4, 5, 11]",1
48,14,11,"[14, 7, 10, 5, 11]",1
49,13,10,"[13, 12, 11, 5, 10]",1
50,11,6,"[11, 5, 4, 3, 6]",1
51,14,10,"[14, 7, 10]",2
52,6,5,"[6, 3, 4, 5]",1
53,12,1,"[12, 11, 5, 4, 3, 2, 1]",1
54,13,12,"[13, 12]",1
55,16,8,"[16, 15, 14, 7, 8]",2
56,5,12,"[5, 11, 12]",3
57,11,2,"[11, 5, 4, 3, 2]",1
58,9,3,"[9, 8, 7, 6, 3]",3
59,8,10,"[8, 7, 10]",1
60,1,12,"[1, 2, 3, 4, 5, 11, 12]",1
61,1,12,"[1, 2, 3, 4, 5, 11, 12]",1
62,9,3,"[9, 8, 7, 6, 3]",1
63,14,10,"[14, 7, 10]",2
64,7,14,"[7, 14]",1
65,8,14,"[8, 7, 14]",1
66,11,7,"[11, 5, 10, 7]",1
67,14,8,"[14, 7, 8]",1
68,10,1,"[10, 3, 2, 1]",1
69,5,3,"[5, 4, 3]",5
70,0,13,"[0, 1, 2, 3, 4, 5, 11, 12, 13]",3
71,15,4,"[15, 14, 7, 6, 3, 4]",1
72,15,1,"[15, 14, 7, 6, 3, 2, 1]",1
73,15,4,"[15, 14, 7, 6, 3, 4]",1
74,10,11,"[10, 5, 11]",3
75,7,1,"[7, 6, 3, 2, 1]",5
76,14,9,"[14, 7, 8, 9]",1
77,0,10,"[0, 1, 2, 3, 10]",1
78,12,7,"[12, 11, 5, 10, 7]",2
79,2,8,"[2, 3, 6, 7, 8]",1
80,9,5,"[9, 8, 7, 10, 5]",2
81,13,11,"[13, 12, 11]",1
82,13,1,"[13, 12, 11, 5, 4, 3, 2, 1]",2
83,0,15,"[0, 1, 2, 3, 6, 7, 14, 15]",3
84,5,6,"[5, 4, 3, 6]",5
85,1,8,"[1, 2, 3, 6, 7, 8]",1
86,16,5,"[16, 15, 14, 7, 10, 5]",1
87,16,6,"[16, 15, 14, 7, 6]",1
88,9,15,"[9, 8, 7, 14, 15]",1
89,14,7,"[14, 7]",1
90,9,2,"[9, 8, 7, 6, 3, 2]",1
91,3,14,"[3, 6, 7, 14]",1
92,8,6,"[8, 7, 6]",3
93,16,2,"[16, 15, 14, 7, 6, 3, 2]",1
94,12,13,"[12, 13]",1
95,14,3,"[14, 7, 6, 3]",2
96,1,13,"[1, 2, 3, 4, 5, 11, 12, 13]",2
97,13,11,"[13, 12, 11]",1
98,4,15,"[4, 3, 6, 7, 14, 15]",2
99,4,6,"[4, 3, 6]",2
