request_id,origin,destination,path_nodes,path_lines,avg_passengers_per_time_unit
0,8,1,"[8, 7, 6, 5, 4, 3, 2, 1]","[[1], [1], [1], [1], [1], [1], [1]]",2
1,18,27,"[18, 17, 16, 2, 3, 4, 11, 20, 21, 22, 23, 24, 25, 26, 27]","[[2], [2], [2], [1], [1], [2], [3], [3], [3], [3], [3], [3], [3], [3]]",1
2,36,30,"[36, 35, 34, 33, 32, 31, 30]","[[4], [4], [4], [4], [4], [4]]",1
3,16,30,"[16, 30]",[[4]],1
4,2,19,"[2, 16, 17, 18, 19]","[[2], [2], [2], [2]]",1
5,21,33,"[21, 20, 11, 4, 3, 2, 16, 30, 31, 32, 33]","[[3], [3], [2], [1], [1], [2], [4], [4], [4], [4]]",1
6,30,13,"[30, 16, 2, 15, 14, 13]","[[4], [2], [2], [2], [2]]",2
7,38,33,"[38, 37, 36, 35, 34, 33]","[[4], [4], [4], [4], [4]]",2
8,36,20,"[36, 35, 34, 33, 32, 31, 30, 16, 2, 3, 4, 11, 20]","[[4], [4], [4], [4], [4], [4], [4], [2], [1], [1], [2], [3]]",1
9,0,25,"[0, 1, 2, 3, 4, 11, 20, 21, 22, 23, 24, 25]","[[1], [1], [1], [1], [2], [3], [3], [3], [3], [3], [3]]",2
10,32,27,"[32, 31, 30, 16, 2, 3, 4, 11, 20, 21, 22, 23, 24, 25, 26, 27]","[[4], [4], [4], [2], [1], [1], [2], [3], [3], [3], [3], [3], [3], [3], [3]]",1
11,34,38,"[34, 35, 36, 37, 38]","[[4], [4], [4], [4]]",1
12,31,33,"[31, 32, 33]","[[4], [4]]",1
13,26,23,"[26, 25, 24, 23]","[[3], [3], [3]]",1
14,32,2,"[32, 31, 30, 16, 2]","[[4], [4], [4], [2]]",1
15,11,5,"[11, 4, 5]","[[2], [1]]",1
16,31,16,"[31, 30, 16]","[[4], [4]]",1
17,10,21,"[10, 9, 8, 7, 6, 5, 4, 11, 20, 21]","[[1], [1], [1], [1], [1], [1], [2], [3], [3]]",1
18,21,35,"[21, 20, 11, 4, 3, 2, 16, 30, 31, 32, 33, 34, 35]","[[3], [3], [2], [1], [1], [2], [4], [4], [4], [4], [4], [4]]",1
19,25,4,"[25, 24, 23, 22, 21, 20, 11, 4]","[[3], [3], [3], [3], [3], [3], [2]]",1
20,29,24,"[29, 28, 27, 26, 25, 24]","[[3], [3], [3], [3], [3]]",1
21,36,21,"[36, 35, 34, 33, 32, 31, 30, 16, 2, 3, 4, 11, 20, 21]","[[4], [4], [4], [4], [4], [4], [4], [2], [1], [1], [2], [3], [3]]",1
22,1,12,"[1, 2, 3, 4, 11, 12]","[[1], [1], [1], [2], [2]]",2
