stop_id,name,type,node,lon,lat
0,Stop_0,bus_stop,150442021,397987.4026343119,4992184.126667085
1,Stop_1,bus_stop,940730799,397835.0138270573,4992430.7277923
2,Stop_2,bus_stop,7111939939,397686.349330736,4992699.641154975
3,Stop_3,bus_stop,1755798407,397638.4472880652,4992922.590670317
4,Stop_4,bus_stop,252699730,397537.3861724383,4992976.097092278
5,Stop_5,bus_stop,12876021890,397125.76602822193,4990204.671260444
6,Stop_6,bus_stop,248427962,397020.00077743025,4990453.4937597485
7,Stop_7,bus_stop,246516333,396894.2703488672,4990517.708424353
8,Stop_8,bus_stop,1227233530,397183.5244430357,4990661.398322526
9,Stop_9,bus_stop,3273458421,397391.5579621218,4990885.2018428035
