stop_id,name,type,node,lon,lat
0,Stop_0,bus_stop,0,6,3
1,Stop_1,bus_stop,1,5,3
2,Stop_2,bus_stop,2,4,3
3,Stop_3,bus_stop,3,3,3
4,Stop_4,bus_stop,4,2,3
5,Stop_5,bus_stop,5,1,3
6,Stop_6,bus_stop,6,1,2
7,Stop_7,bus_stop,7,0,2
8,Stop_8,bus_stop,8,0,3
9,Stop_9,bus_stop,9,2,7
10,Stop_10,bus_stop,10,2,6
11,Stop_11,bus_stop,11,3,6
12,Stop_12,bus_stop,12,4,6
13,Stop_13,bus_stop,13,5,6
14,Stop_14,bus_stop,14,6,6
15,Stop_15,bus_stop,15,6,5
16,Stop_16,bus_stop,16,6,4
17,Stop_17,bus_stop,17,5,4
18,Stop_18,bus_stop,18,4,4
19,Stop_19,bus_stop,19,5,6
20,Stop_20,bus_stop,20,4,6
21,Stop_21,bus_stop,21,3,6
22,Stop_22,bus_stop,22,3,5
23,Stop_23,bus_stop,23,3,4
24,Stop_24,bus_stop,24,2,4
25,Stop_25,bus_stop,25,1,4
26,Stop_26,bus_stop,26,0,4
27,Stop_27,bus_stop,27,0,3
28,Stop_28,bus_stop,28,3,4
29,Stop_29,bus_stop,29,2,4
30,Stop_30,bus_stop,30,2,5
31,Stop_31,bus_stop,31,1,5
32,Stop_32,bus_stop,32,0,5
33,Stop_33,bus_stop,33,0,6
34,Stop_34,bus_stop,34,1,6
35,Stop_35,bus_stop,35,4,2
36,Stop_36,bus_stop,36,5,2
37,Stop_37,bus_stop,37,5,3
38,Stop_38,bus_stop,38,4,3
39,Stop_39,bus_stop,39,3,3
40,Stop_40,bus_stop,40,2,3
41,Stop_41,bus_stop,41,1,3
